atomic number,density (g/cm3),thickness (nm),initial energy eV,number trajectories,repetition id,bse,bse variance,bse std,te,te variance,te std,elapse time s
64,7.89,1e+09,15000,1000000,1,0.506018,2.49964e-07,0.000499964,0,0,0,171.66
65,8.27,1e+09,15000,1000000,1,0.509156,2.49916e-07,0.000499916,0,0,0,171.408
66,8.54,1e+09,15000,1000000,1,0.512129,2.49853e-07,0.000499853,0,0,0,171.255
67,8.8,1e+09,15000,1000000,1,0.516158,2.49739e-07,0.000499739,0,0,0,172.735
68,9.05,1e+09,15000,1000000,1,0.519282,2.49628e-07,0.000499628,0,0,0,174.639
69,9.33,1e+09,15000,1000000,1,0.522683,2.49485e-07,0.000499485,0,0,0,174.697
70,6.98,1e+09,15000,1000000,1,0.524842,2.49383e-07,0.000499382,0,0,0,175.374
71,9.84,1e+09,15000,1000000,1,0.528106,2.4921e-07,0.000499209,0,0,0,179.452
72,13.1,1e+09,15000,1000000,1,0.531545,2.49005e-07,0.000499004,0,0,0,177.67
73,16.6,1e+09,15000,1000000,1,0.533833,2.48855e-07,0.000498854,0,0,0,178.402
74,19.3,1e+09,15000,1000000,1,0.537261,2.48612e-07,0.00049861,0,0,0,179.066
75,21,1e+09,15000,1000000,1,0.540164,2.48387e-07,0.000498384,0,0,0,180.458
76,22.6,1e+09,15000,1000000,1,0.542258,2.48214e-07,0.000498211,0,0,0,179.942
77,22.5,1e+09,15000,1000000,1,0.545754,2.47907e-07,0.000497902,0,0,0,181.018
78,21.4,1e+09,15000,1000000,1,0.547803,2.47715e-07,0.00049771,0,0,0,182.469
79,19.3,1e+09,15000,1000000,1,0.550757,2.47424e-07,0.000497417,0,0,0,183.43
80,13.6,1e+09,15000,1000000,1,0.55276,2.47216e-07,0.000497209,0,0,0,184.232
81,11.85,1e+09,15000,1000000,1,0.555569,2.46912e-07,0.000496902,0,0,0,184.328
82,11.4,1e+09,15000,1000000,1,0.557618,2.4668e-07,0.000496669,0,0,0,187.219
83,9.8,1e+09,15000,1000000,1,0.561139,2.46262e-07,0.000496248,0,0,0,186.456
84,9.2,1e+09,15000,1000000,1,0.56294,2.46039e-07,0.000496023,0,0,0,185.307
85,7,1e+09,15000,1000000,1,0.565463,2.45715e-07,0.000495696,0,0,0,187.741
86,9.91,1e+09,15000,1000000,1,0.567811,2.45402e-07,0.00049538,0,0,0,187.017
87,2.44,1e+09,15000,1000000,1,0.570398,2.45044e-07,0.000495019,0,0,0,190.143
88,5,1e+09,15000,1000000,1,0.572007,2.44815e-07,0.000494788,0,0,0,189.584
89,10.07,1e+09,15000,1000000,1,0.575271,2.44334e-07,0.000494302,0,0,0,190.599
90,11.7,1e+09,15000,1000000,1,0.576998,2.44071e-07,0.000494036,0,0,0,190.679
91,15.4,1e+09,15000,1000000,1,0.579092,2.43744e-07,0.000493705,0,0,0,195.91
92,18.9,1e+09,15000,1000000,1,0.581663,2.43331e-07,0.000493286,0,0,0,198.479
93,20.4,1e+09,15000,1000000,1,0.583073,2.43099e-07,0.000493051,0,0,0,191.473
94,19.8,1e+09,15000,1000000,1,0.586271,2.42557e-07,0.000492501,0,0,0,193.743
95,13.6,1e+09,15000,1000000,1,0.586803,2.42465e-07,0.000492408,0,0,0,198.268
96,13.511,1e+09,15000,1000000,1,0.588773,2.42119e-07,0.000492056,0,0,0,196.034
