atomic number, thickness (nm), initial energy eV, number trajectories, repetition id, bse, bse variance, bse std, te, te variance, te std, elapse time s
14, 20, 15000, 1000000, 1, 0.00240549, 3.59654e-09, 5.99711e-05, 0.998395, 1.60242e-09, 4.00303e-05, 0.301945
14, 30, 15000, 1000000, 1, 0.00297015, 3.66636e-09, 6.05505e-05, 0.997601, 2.39324e-09, 4.89208e-05, 0.406987
14, 40, 15000, 1000000, 1, 0.00376505, 4.2181e-09, 6.49469e-05, 0.996652, 3.33679e-09, 5.7765e-05, 0.515864
14, 50, 15000, 1000000, 1, 0.00464349, 4.93831e-09, 7.02731e-05, 0.995654, 4.32711e-09, 6.57808e-05, 0.624945
14, 100, 15000, 1000000, 1, 0.0103889, 1.03246e-08, 0.00010161, 0.989655, 1.0238e-08, 0.000101183, 1.19817
14, 150, 15000, 1000000, 1, 0.0177296, 1.74198e-08, 0.000131984, 0.982275, 1.74108e-08, 0.00013195, 1.83331
14, 200, 15000, 1000000, 1, 0.0265624, 2.58572e-08, 0.000160802, 0.973428, 2.58659e-08, 0.000160829, 2.5389
14, 250, 15000, 1000000, 1, 0.037484, 3.60789e-08, 0.000189945, 0.962436, 3.61529e-08, 0.000190139, 3.33518
14, 500, 15000, 1000000, 1, 0.107603, 9.60246e-08, 0.000309878, 0.879797, 1.05754e-07, 0.000325199, 9.28442
14, 750, 15000, 1000000, 1, 0.160532, 1.34761e-07, 0.000367099, 0.754515, 1.85222e-07, 0.000430374, 19.1821
14, 1000, 15000, 1000000, 1, 0.175121, 1.44454e-07, 0.000380071, 0.60023, 2.39954e-07, 0.000489851, 31.3399
14, 1250, 15000, 1000000, 1, 0.175072, 1.44422e-07, 0.000380029, 0.435117, 2.4579e-07, 0.000495772, 42.99
14, 1500, 15000, 1000000, 1, 0.175539, 1.44725e-07, 0.000380427, 0.275887, 1.99773e-07, 0.00044696, 52.5444
14, 1750, 15000, 1000000, 1, 0.175883, 1.44948e-07, 0.000380721, 0.142487, 1.22184e-07, 0.000349549, 59.3455
14, 2000, 15000, 1000000, 1, 0.17513, 1.44459e-07, 0.000380078, 0.052083, 4.93704e-08, 0.000222194, 63.2742
14, 2250, 15000, 1000000, 1, 0.175942, 1.44986e-07, 0.000380771, 0.0099, 9.80199e-09, 9.9005e-05, 64.7545
14, 2500, 15000, 1000000, 1, 0.175696, 1.44827e-07, 0.000380561, 0.000409, 4.08833e-10, 2.02196e-05, 65.0293
14, 3000, 15000, 1000000, 1, 0.176034, 1.45046e-07, 0.000380849, 0, 0, 0, 65.1174
14, 4000, 15000, 1000000, 1, 0.175786, 1.44885e-07, 0.000380638, 0, 0, 0, 64.9722
14, 5000, 15000, 1000000, 1, 0.175543, 1.44728e-07, 0.000380431, 0, 0, 0, 65.0101
26, 5, 15000, 1000000, 1, 0.00373205, 5.69164e-09, 7.5443e-05, 0.997562, 2.43206e-09, 4.93159e-05, 0.296279
26, 10, 15000, 1000000, 1, 0.00579646, 6.54856e-09, 8.09231e-05, 0.994899, 5.07498e-09, 7.12389e-05, 0.507187
26, 20, 15000, 1000000, 1, 0.0119821, 1.20132e-08, 0.000109605, 0.988192, 1.16686e-08, 0.000108021, 0.955816
26, 30, 15000, 1000000, 1, 0.0202263, 1.98509e-08, 0.000140893, 0.979808, 1.97843e-08, 0.000140657, 1.44835
26, 40, 15000, 1000000, 1, 0.0310114, 3.00558e-08, 0.000173366, 0.968995, 3.00437e-08, 0.000173331, 1.99794
26, 50, 15000, 1000000, 1, 0.0425771, 4.07654e-08, 0.000201904, 0.957424, 4.07633e-08, 0.000201899, 2.60861
26, 100, 15000, 1000000, 1, 0.121774, 1.06945e-07, 0.000327025, 0.877643, 1.07386e-07, 0.000327698, 6.65433
26, 150, 15000, 1000000, 1, 0.204983, 1.62965e-07, 0.000403689, 0.78304, 1.69888e-07, 0.000412175, 12.907
26, 200, 15000, 1000000, 1, 0.263374, 1.94008e-07, 0.000440464, 0.681038, 2.17225e-07, 0.000466074, 21.9378
26, 250, 15000, 1000000, 1, 0.292871, 2.07098e-07, 0.00045508, 0.571587, 2.44875e-07, 0.000494849, 32.8927
26, 500, 15000, 1000000, 1, 0.304561, 2.11804e-07, 0.000460221, 0.113017, 1.00244e-07, 0.000316614, 75.2806
26, 750, 15000, 1000000, 1, 0.30507, 2.12002e-07, 0.000460437, 0.00121, 1.20854e-09, 3.4764e-05, 82.6432
26, 1000, 15000, 1000000, 1, 0.30467, 2.11846e-07, 0.000460268, 0, 0, 0, 82.7345
26, 1250, 15000, 1000000, 1, 0.304993, 2.11972e-07, 0.000460404, 0, 0, 0, 82.7201
26, 1500, 15000, 1000000, 1, 0.304629, 2.1183e-07, 0.00046025, 0, 0, 0, 82.749
26, 1750, 15000, 1000000, 1, 0.303857, 2.11528e-07, 0.000459922, 0, 0, 0, 82.7954
26, 2000, 15000, 1000000, 1, 0.304344, 2.11719e-07, 0.000460129, 0, 0, 0, 82.7679
26, 2250, 15000, 1000000, 1, 0.304788, 2.11892e-07, 0.000460318, 0, 0, 0, 82.7254
26, 2500, 15000, 1000000, 1, 0.304311, 2.11706e-07, 0.000460115, 0, 0, 0, 82.7768
26, 3000, 15000, 1000000, 1, 0.303939, 2.1156e-07, 0.000459957, 0, 0, 0, 82.8139
26, 4000, 15000, 1000000, 1, 0.304677, 2.11849e-07, 0.00046027, 0, 0, 0, 82.7714
26, 5000, 15000, 1000000, 1, 0.304042, 2.116e-07, 0.000460001, 0, 0, 0, 82.7262
29, 5, 15000, 1000000, 1, 0.00427804, 6.02625e-09, 7.76289e-05, 0.996976, 3.01486e-09, 5.49077e-05, 0.329802
29, 10, 15000, 1000000, 1, 0.00726027, 7.88561e-09, 8.88009e-05, 0.993364, 6.59196e-09, 8.11909e-05, 0.573606
29, 20, 15000, 1000000, 1, 0.0158715, 1.57361e-08, 0.000125444, 0.984246, 1.55058e-08, 0.000124522, 1.11381
29, 30, 15000, 1000000, 1, 0.0272182, 2.64932e-08, 0.000162767, 0.972798, 2.64621e-08, 0.000162672, 1.71946
29, 40, 15000, 1000000, 1, 0.0415702, 3.98442e-08, 0.00019961, 0.958432, 3.98401e-08, 0.0001996, 2.40497
29, 50, 15000, 1000000, 1, 0.0587805, 5.53258e-08, 0.000235214, 0.941219, 5.53258e-08, 0.000235214, 3.17995
29, 100, 15000, 1000000, 1, 0.160393, 1.34667e-07, 0.00036697, 0.838116, 1.35678e-07, 0.000368344, 8.47871
29, 150, 15000, 1000000, 1, 0.252573, 1.8878e-07, 0.000434488, 0.72369, 1.99963e-07, 0.000447172, 16.9504
29, 200, 15000, 1000000, 1, 0.305545, 2.12187e-07, 0.000460638, 0.601391, 2.3972e-07, 0.000489612, 29.0484
29, 250, 15000, 1000000, 1, 0.323807, 2.18956e-07, 0.000467927, 0.477139, 2.49477e-07, 0.000499477, 42.6259
29, 500, 15000, 1000000, 1, 0.32829, 2.20516e-07, 0.000469591, 0.048532, 4.61766e-08, 0.000214888, 83.0359
29, 750, 15000, 1000000, 1, 0.329923, 2.21074e-07, 0.000470185, 2.9e-05, 2.89992e-11, 5.38509e-06, 86.1157
29, 1000, 15000, 1000000, 1, 0.328695, 2.20655e-07, 0.000469739, 0, 0, 0, 86.2381
29, 1250, 15000, 1000000, 1, 0.329677, 2.2099e-07, 0.000470096, 0, 0, 0, 86.171
29, 1500, 15000, 1000000, 1, 0.329248, 2.20844e-07, 0.00046994, 0, 0, 0, 86.1969
29, 1750, 15000, 1000000, 1, 0.328655, 2.20641e-07, 0.000469724, 0, 0, 0, 86.2463
29, 2000, 15000, 1000000, 1, 0.328949, 2.20742e-07, 0.000469831, 0, 0, 0, 86.2249
29, 2250, 15000, 1000000, 1, 0.329371, 2.20886e-07, 0.000469985, 0, 0, 0, 86.172
29, 2500, 15000, 1000000, 1, 0.328605, 2.20624e-07, 0.000469706, 0, 0, 0, 86.244
29, 3000, 15000, 1000000, 1, 0.329464, 2.20917e-07, 0.000470019, 0, 0, 0, 86.1992
29, 4000, 15000, 1000000, 1, 0.328968, 2.20748e-07, 0.000469838, 0, 0, 0, 86.1911
29, 5000, 15000, 1000000, 1, 0.328795, 2.20689e-07, 0.000469775, 0, 0, 0, 86.2187
47, 5, 15000, 1000000, 1, 0.00729729, 9.04859e-09, 9.51241e-05, 0.994158, 5.80787e-09, 7.62094e-05, 0.409758
47, 10, 15000, 1000000, 1, 0.0138439, 1.42234e-08, 0.000119262, 0.986712, 1.31114e-08, 0.000114505, 0.752819
47, 20, 15000, 1000000, 1, 0.0337342, 3.26476e-08, 0.000180687, 0.966319, 3.25466e-08, 0.000180407, 1.5485
47, 30, 15000, 1000000, 1, 0.0608525, 5.71528e-08, 0.000239067, 0.939151, 5.71464e-08, 0.000239053, 2.50835
47, 40, 15000, 1000000, 1, 0.0925512, 8.39856e-08, 0.000289803, 0.907448, 8.39861e-08, 0.000289804, 3.6318
47, 50, 15000, 1000000, 1, 0.127073, 1.10925e-07, 0.000333055, 0.872925, 1.10927e-07, 0.000333057, 4.91529
47, 100, 15000, 1000000, 1, 0.290687, 2.06188e-07, 0.000454079, 0.70554, 2.07753e-07, 0.0004558, 13.6846
47, 150, 15000, 1000000, 1, 0.391601, 2.3825e-07, 0.000488108, 0.558878, 2.46533e-07, 0.000496521, 28.5685
47, 200, 15000, 1000000, 1, 0.42912, 2.44976e-07, 0.000494951, 0.415906, 2.42928e-07, 0.000492877, 48.4786
47, 250, 15000, 1000000, 1, 0.437657, 2.46113e-07, 0.000496098, 0.284767, 2.03675e-07, 0.000451303, 67.4177
47, 500, 15000, 1000000, 1, 0.438117, 2.4617e-07, 0.000496156, 0.006654, 6.60972e-09, 8.13002e-05, 102.358
47, 750, 15000, 1000000, 1, 0.437883, 2.46141e-07, 0.000496126, 0, 0, 0, 102.984
47, 1000, 15000, 1000000, 1, 0.439036, 2.46283e-07, 0.000496269, 0, 0, 0, 102.875
47, 1250, 15000, 1000000, 1, 0.437328, 2.46072e-07, 0.000496057, 0, 0, 0, 103.078
47, 1500, 15000, 1000000, 1, 0.438383, 2.46203e-07, 0.000496189, 0, 0, 0, 102.928
47, 1750, 15000, 1000000, 1, 0.43855, 2.46224e-07, 0.00049621, 0, 0, 0, 102.937
47, 2000, 15000, 1000000, 1, 0.437521, 2.46096e-07, 0.000496081, 0, 0, 0, 103.037
47, 2250, 15000, 1000000, 1, 0.437314, 2.4607e-07, 0.000496055, 0, 0, 0, 103.044
47, 2500, 15000, 1000000, 1, 0.438824, 2.46257e-07, 0.000496243, 0, 0, 0, 102.84
47, 3000, 15000, 1000000, 1, 0.43768, 2.46116e-07, 0.000496101, 0, 0, 0, 103.064
47, 4000, 15000, 1000000, 1, 0.437901, 2.46144e-07, 0.000496129, 0, 0, 0, 103.051
47, 5000, 15000, 1000000, 1, 0.438573, 2.46227e-07, 0.000496212, 0, 0, 0, 102.843
79, 5, 15000, 1000000, 1, 0.0210418, 2.14576e-08, 0.000146484, 0.9798, 1.9792e-08, 0.000140684, 0.778853
79, 10, 15000, 1000000, 1, 0.0514521, 4.88809e-08, 0.00022109, 0.948628, 4.87329e-08, 0.000220755, 1.64632
79, 20, 15000, 1000000, 1, 0.136051, 1.17542e-07, 0.000342843, 0.863949, 1.17541e-07, 0.000342843, 3.97231
79, 30, 15000, 1000000, 1, 0.224629, 1.74171e-07, 0.000417338, 0.775371, 1.74171e-07, 0.000417338, 6.88447
79, 40, 15000, 1000000, 1, 0.302597, 2.11032e-07, 0.000459382, 0.697315, 2.11067e-07, 0.00045942, 10.2373
79, 50, 15000, 1000000, 1, 0.369527, 2.32977e-07, 0.000482677, 0.629658, 2.33189e-07, 0.000482896, 14.0117
79, 100, 15000, 1000000, 1, 0.532772, 2.48926e-07, 0.000498925, 0.374931, 2.34358e-07, 0.000484105, 49.6533
79, 150, 15000, 1000000, 1, 0.549884, 2.47512e-07, 0.000497505, 0.174018, 1.43736e-07, 0.000379125, 91.8108
79, 200, 15000, 1000000, 1, 0.549864, 2.47514e-07, 0.000497507, 0.057684, 5.43566e-08, 0.000233145, 114.481
79, 250, 15000, 1000000, 1, 0.550371, 2.47463e-07, 0.000497456, 0.012502, 1.23457e-08, 0.000111111, 122.204
79, 500, 15000, 1000000, 1, 0.549799, 2.4752e-07, 0.000497514, 0, 0, 0, 124.269
