atomic number, density (g/cm3), initial energy eV, number trajectories, repetition id, bse, bse variance, bse std, te, te variance, te std, elapse time s
29, 5, 15000, 1000000, 1, 0.329143, 2.20808e-07, 0.000469902, 0, 0, 0, 86.1749
29, 5, 15000, 1000000, 2, 0.329196, 2.20826e-07, 0.000469921, 0, 0, 0, 86.1819
29, 5, 15000, 1000000, 3, 0.328705, 2.20658e-07, 0.000469743, 0, 0, 0, 86.2235
29, 5, 15000, 1000000, 4, 0.32879, 2.20687e-07, 0.000469773, 0, 0, 0, 86.2421
29, 5, 15000, 1000000, 5, 0.329376, 2.20887e-07, 0.000469987, 0, 0, 0, 86.1656
29, 5, 15000, 1000000, 6, 0.328392, 2.20551e-07, 0.000469628, 0, 0, 0, 86.2298
29, 5, 15000, 1000000, 7, 0.328941, 2.20739e-07, 0.000469828, 0, 0, 0, 86.1845
29, 5, 15000, 1000000, 8, 0.328702, 2.20657e-07, 0.000469741, 0, 0, 0, 86.227
29, 5, 15000, 1000000, 9, 0.328693, 2.20654e-07, 0.000469738, 0, 0, 0, 86.2979
29, 5, 15000, 1000000, 10, 0.329538, 2.20943e-07, 0.000470045, 0, 0, 0, 86.1602
29, 6, 15000, 1000000, 1, 0.328868, 2.20714e-07, 0.000469802, 0, 0, 0, 86.2657
29, 6, 15000, 1000000, 2, 0.329623, 2.20972e-07, 0.000470076, 0, 0, 0, 86.1953
29, 6, 15000, 1000000, 3, 0.329673, 2.20989e-07, 0.000470094, 0, 0, 0, 86.0988
29, 6, 15000, 1000000, 4, 0.32924, 2.20841e-07, 0.000469937, 0, 0, 0, 86.1645
29, 6, 15000, 1000000, 5, 0.329095, 2.20791e-07, 0.000469885, 0, 0, 0, 86.1979
29, 6, 15000, 1000000, 6, 0.328774, 2.20682e-07, 0.000469768, 0, 0, 0, 86.2261
29, 6, 15000, 1000000, 7, 0.328995, 2.20757e-07, 0.000469848, 0, 0, 0, 86.2066
29, 6, 15000, 1000000, 8, 0.328922, 2.20732e-07, 0.000469822, 0, 0, 0, 86.1894
29, 6, 15000, 1000000, 9, 0.329897, 2.21065e-07, 0.000470175, 0, 0, 0, 86.084
29, 6, 15000, 1000000, 10, 0.329781, 2.21025e-07, 0.000470133, 0, 0, 0, 86.1282
29, 7, 15000, 1000000, 1, 0.328925, 2.20733e-07, 0.000469823, 0, 0, 0, 86.1941
29, 7, 15000, 1000000, 2, 0.329302, 2.20862e-07, 0.00046996, 0, 0, 0, 86.1595
29, 7, 15000, 1000000, 3, 0.329106, 2.20795e-07, 0.000469889, 0, 0, 0, 86.2027
29, 7, 15000, 1000000, 4, 0.328244, 2.205e-07, 0.000469574, 0, 0, 0, 86.2767
29, 7, 15000, 1000000, 5, 0.329059, 2.20779e-07, 0.000469871, 0, 0, 0, 86.2034
29, 7, 15000, 1000000, 6, 0.328901, 2.20725e-07, 0.000469814, 0, 0, 0, 86.2099
29, 7, 15000, 1000000, 7, 0.329557, 2.20949e-07, 0.000470052, 0, 0, 0, 86.0821
29, 7, 15000, 1000000, 8, 0.328877, 2.20717e-07, 0.000469805, 0, 0, 0, 86.257
29, 7, 15000, 1000000, 9, 0.328269, 2.20508e-07, 0.000469583, 0, 0, 0, 86.2458
29, 7, 15000, 1000000, 10, 0.32897, 2.20749e-07, 0.000469839, 0, 0, 0, 86.1926
29, 8, 15000, 1000000, 1, 0.328194, 2.20483e-07, 0.000469556, 0, 0, 0, 86.3123
29, 8, 15000, 1000000, 2, 0.329636, 2.20976e-07, 0.000470081, 0, 0, 0, 86.1606
29, 8, 15000, 1000000, 3, 0.329717, 2.21004e-07, 0.00047011, 0, 0, 0, 86.1504
29, 8, 15000, 1000000, 4, 0.328967, 2.20748e-07, 0.000469838, 0, 0, 0, 86.2222
29, 8, 15000, 1000000, 5, 0.329724, 2.21006e-07, 0.000470113, 0, 0, 0, 86.1636
29, 8, 15000, 1000000, 6, 0.328834, 2.20702e-07, 0.00046979, 0, 0, 0, 86.2258
29, 8, 15000, 1000000, 7, 0.32864, 2.20636e-07, 0.000469719, 0, 0, 0, 86.2285
29, 8, 15000, 1000000, 8, 0.329061, 2.2078e-07, 0.000469872, 0, 0, 0, 86.2051
29, 8, 15000, 1000000, 9, 0.329572, 2.20954e-07, 0.000470058, 0, 0, 0, 86.1648
29, 8, 15000, 1000000, 10, 0.32883, 2.20701e-07, 0.000469788, 0, 0, 0, 86.2565
